40.1653 	EXP 	pres_text: height = 0.1
40.1653 	EXP 	pres_text: height = 0.1
40.1653 	EXP 	pres_text: text = '3'
40.1653 	EXP 	fixation: autoDraw = True
41.1523 	EXP 	pres_text: autoDraw = True
41.1656 	EXP 	fixation: autoDraw = False
42.1400 	EXP 	New trial (rep=1, index=0): None
42.1527 	EXP 	pres_text: autoDraw = False
42.1527 	EXP 	fixation: autoDraw = False
42.1527 	EXP 	pres_text: autoDraw = False
42.1527 	EXP 	pres_text: height = 0.1
42.1527 	EXP 	pres_text: height = 0.1
42.1527 	EXP 	pres_text: height = 0.1
42.1527 	EXP 	pres_text: text = '1'
42.1527 	EXP 	fixation: autoDraw = True
43.1530 	EXP 	fixation: autoDraw = False
43.1530 	EXP 	pres_text: autoDraw = True
44.1409 	EXP 	New trial (rep=2, index=0): None
44.1535 	EXP 	pres_text: autoDraw = False
44.1535 	EXP 	fixation: autoDraw = False
44.1535 	EXP 	pres_text: autoDraw = False
44.1535 	EXP 	pres_text: height = 0.1
44.1535 	EXP 	pres_text: height = 0.1
44.1535 	EXP 	pres_text: height = 0.1
44.1535 	EXP 	pres_text: text = '4'
44.1535 	EXP 	fixation: autoDraw = True
45.1538 	EXP 	fixation: autoDraw = False
45.1538 	EXP 	pres_text: autoDraw = True
46.1415 	EXP 	New trial (rep=3, index=0): None
46.1542 	EXP 	pres_text: autoDraw = False
46.1542 	EXP 	fixation: autoDraw = False
46.1542 	EXP 	pres_text: autoDraw = False
46.1542 	EXP 	pres_text: height = 0.1
46.1542 	EXP 	pres_text: height = 0.1
46.1542 	EXP 	pres_text: height = 0.1
46.1542 	EXP 	pres_text: text = '1'
46.1542 	EXP 	fixation: autoDraw = True
47.1545 	EXP 	fixation: autoDraw = False
47.1545 	EXP 	pres_text: autoDraw = True
48.1549 	EXP 	pres_text: autoDraw = False
48.1549 	EXP 	fixation: autoDraw = False
48.1549 	EXP 	pres_text: autoDraw = False
48.1549 	EXP 	recall_txt: autoDraw = True
48.1549 	EXP 	textbox: autoDraw = True
48.1549 	EXP 	cont_button: autoDraw = True
50.0395 	DATA 	Keypress: 3
50.3827 	DATA 	Keypress: 1
51.0793 	DATA 	Keypress: 4
51.4230 	DATA 	Keypress: 1
52.9436 	DATA 	Mouse: Left button down, pos=(1064,113)
52.9567 	EXP 	recall_txt: autoDraw = False
52.9567 	EXP 	textbox: autoDraw = False
52.9567 	EXP 	cont_button: autoDraw = False
52.9567 	EXP 	Texto_Retroalimentación: text = '¡Correcto!'
52.9567 	EXP 	Texto_Retroalimentación: autoDraw = True
53.0247 	DATA 	Mouse:  Left button up, pos=(1064,113)
53.9444 	EXP 	New trial (rep=0, index=1): {'digitSpan': 4, 'digits': 6351}
53.9446 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
53.9447 	EXP 	New trial (rep=0, index=0): None
53.9571 	EXP 	Texto_Retroalimentación: autoDraw = False
53.9571 	EXP 	Texto_Retroalimentación: autoDraw = False
53.9571 	EXP 	pres_text: height = 0.1
53.9571 	EXP 	pres_text: height = 0.1
53.9571 	EXP 	pres_text: height = 0.1
53.9571 	EXP 	pres_text: text = '6'
53.9571 	EXP 	fixation: autoDraw = True
54.9441 	EXP 	pres_text: autoDraw = True
54.9575 	EXP 	fixation: autoDraw = False
55.9317 	EXP 	New trial (rep=1, index=0): None
55.9445 	EXP 	pres_text: autoDraw = False
55.9445 	EXP 	fixation: autoDraw = False
55.9445 	EXP 	pres_text: autoDraw = False
55.9445 	EXP 	pres_text: height = 0.1
55.9445 	EXP 	pres_text: height = 0.1
55.9445 	EXP 	pres_text: height = 0.1
55.9445 	EXP 	pres_text: text = '3'
55.9445 	EXP 	fixation: autoDraw = True
56.9449 	EXP 	fixation: autoDraw = False
56.9449 	EXP 	pres_text: autoDraw = True
57.9325 	EXP 	New trial (rep=2, index=0): None
