7.7555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
50.7549 	EXP 	pres_text: text = '6'
50.7549 	EXP 	fixation: autoDraw = True
51.7380 	EXP 	pres_text: autoDraw = True
51.7584 	EXP 	fixation: autoDraw = False
52.7475 	EXP 	fixation: autoDraw = False
52.7475 	EXP 	pres_text: autoDraw = False
52.7475 	EXP 	recall_txt: autoDraw = True
52.7475 	EXP 	textbox: autoDraw = True
52.7475 	EXP 	cont_button: autoDraw = True
66.7568 	DATA 	Keypress: 3
66.9409 	DATA 	Keypress: 2
67.3371 	DATA 	Keypress: 4
68.7455 	DATA 	Keypress: return
70.4570 	DATA 	Keypress: backspace
71.7349 	DATA 	Mouse: Left button down, pos=(1001,117)
71.7644 	EXP 	recall_txt: autoDraw = False
71.7644 	EXP 	textbox: autoDraw = False
71.7644 	EXP 	cont_button: autoDraw = False
71.7644 	EXP 	feedback_text: text = 'Incorrect'
71.7644 	EXP 	feedback_text: autoDraw = True
71.7975 	DATA 	Mouse:  Left button up, pos=(1004,117)
72.7661 	EXP 	New trial (rep=0, index=2): {'digitSpan': 3, 'digits': 760}
72.7671 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
72.7675 	EXP 	New trial (rep=0, index=0): None
72.7875 	EXP 	feedback_text: autoDraw = False
72.7875 	EXP 	pres_text: text = '7'
72.7875 	EXP 	fixation: autoDraw = True
73.7833 	EXP 	pres_text: autoDraw = True
73.8070 	EXP 	fixation: autoDraw = False
74.7528 	EXP 	New trial (rep=1, index=0): None
74.7642 	EXP 	fixation: autoDraw = False
74.7642 	EXP 	pres_text: autoDraw = False
74.7642 	EXP 	pres_text: text = '6'
74.7642 	EXP 	fixation: autoDraw = True
75.7614 	EXP 	fixation: autoDraw = False
75.7614 	EXP 	pres_text: autoDraw = True
76.7652 	EXP 	New trial (rep=2, index=0): None
76.7924 	EXP 	fixation: autoDraw = False
76.7924 	EXP 	pres_text: autoDraw = False
76.7924 	EXP 	pres_text: text = '0'
76.7924 	EXP 	fixation: autoDraw = True
77.7756 	EXP 	pres_text: autoDraw = True
77.7905 	EXP 	fixation: autoDraw = False
78.7858 	EXP 	fixation: autoDraw = False
78.7858 	EXP 	pres_text: autoDraw = False
78.7858 	EXP 	recall_txt: autoDraw = True
78.7858 	EXP 	textbox: autoDraw = True
78.7858 	EXP 	cont_button: autoDraw = True
80.7433 	DATA 	Keypress: 2
80.9116 	DATA 	Keypress: 3
81.4274 	DATA 	Keypress: 4
82.0800 	DATA 	Keypress: return
82.6231 	DATA 	Mouse: Left button down, pos=(985,97)
82.6401 	EXP 	recall_txt: autoDraw = False
82.6401 	EXP 	textbox: autoDraw = False
82.6401 	EXP 	cont_button: autoDraw = False
82.6401 	EXP 	feedback_text: text = 'Incorrect'
82.6401 	EXP 	feedback_text: autoDraw = True
82.7336 	DATA 	Mouse:  Left button up, pos=(985,97)
83.6285 	EXP 	New trial (rep=0, index=1): {'condition_file': 'four.xlsx'}
83.6667 	EXP 	Imported four.xlsx as conditions, 3 conditions, 2 params
83.6671 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
83.6674 	EXP 	New trial (rep=0, index=0): {'digitSpan': 4, 'digits': 3141}
83.6677 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
83.6679 	EXP 	New trial (rep=0, index=0): None
83.6789 	EXP 	feedback_text: autoDraw = False
83.6789 	EXP 	feedback_text: autoDraw = False
83.6789 	EXP 	pres_text: text = '3'
83.6789 	EXP 	fixation: autoDraw = True
84.6759 	EXP 	pres_text: autoDraw = True
84.7019 	EXP 	fixation: autoDraw = False
85.6331 	EXP 	New trial (rep=1, index=0): None
85.6433 	EXP 	fixation: autoDraw = False
85.6433 	EXP 	pres_text: autoDraw = False
85.6433 	EXP 	pres_text: text = '1'
85.6433 	EXP 	fixation: autoDraw = True
86.6322 	EXP 	pres_text: autoDraw = True
86.6547 	EXP 	fixation: autoDraw = False
87.6222 	EXP 	New trial (rep=2, index=0): None
87.6433 	EXP 	pres_text: autoDraw = False
87.6433 	EXP 	fixation: autoDraw = False
87.6433 	EXP 	pres_text: autoDraw = False
87.6433 	EXP 	pres_text: text = '4'
87.6433 	EXP 	fixation: autoDraw = True
88.6244 	EXP 	pres_text: autoDraw = True
88.6713 	EXP 	fixation: autoDraw = False
89.6310 	EXP 	New trial (rep=3, index=0): None
89.6434 	EXP 	pres_text: autoDraw = False
89.6434 	EXP 	fixation: autoDraw = False
89.6434 	EXP 	pres_text: autoDraw = False
89.6434 	EXP 	pres_text: text = '1'
89.6434 	EXP 	fixation: autoDraw = True
90.6448 	EXP 	pres_text: autoDraw = True
90.6674 	EXP 	fixation: autoDraw = False
91.6549 	EXP 	fixation: autoDraw = False
91.6549 	EXP 	pres_text: autoDraw = False
91.6549 	EXP 	recall_txt: autoDraw = True
91.6549 	EXP 	textbox: autoDraw = True
91.6549 	EXP 	cont_button: autoDraw = True
92.5542 	DATA 	Keypress: 1
92.8411 	DATA 	Keypress: 4
