Column1;subject;type;condition;goal;block;block_num;block_instr_text;trial_num;stim_0;stim_0_value;stim_1;stim_1_value;position_changed;stim_left;stim_right;stim_left_name;stim_right_name;stim_left_name_feedback;stim_right_name_feedback;optimal_stim;optimal_choice;practice_round.thisRepN;practice_round.thisTrialN;practice_round.thisN;practice_round.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;BlockInstr_disp.started;BlockInstr_disp.stopped;iti.started;iti.stopped;left.started;left.stopped;right.started;right.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;chosen_stim_name;chosen_stim_0;chosen_stim_1;true_accuracy;left_feedback.started;left_feedback.stopped;right_feedback.started;right_feedback.stopped;cumulativePts_self;outcomeDescr;outcome;feedback_text.started;feedback_text.stopped;participant;date;expName;psychopyVersion;frameRate
21;0;0;self;win;self_win;1;Play to WIN points;20;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;20;20;20;1.73E+16;None;1.75E+15;None;1.74E+16;None;1.74E+16;None;left;1;4.91E+15;1.74E+16;None;stimuli/slot1_up.jpg;1;0;1;1.75E+15;None;1.75E+15;None;3300;self win;1;1.76E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
22;0;0;self;win;self_win;1;Play to WIN points;21;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;21;21;21;1.77E+15;None;1.78E+15;None;1.78E+15;None;1.78E+15;None;left;0;3.31E+16;1.78E+15;None;stimuli/slot1_up.jpg;1;0;1;1.78E+16;None;1.78E+16;None;3300;self avoid win;0;1.79E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
23;0;0;self;win;self_win;1;Play to WIN points;22;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;22;22;22;1.80E+15;None;1.82E+16;None;1.81E+16;None;1.81E+16;None;right;1;3.39E+16;1.81E+16;None;stimuli/slot1_up.jpg;1;0;1;1.81E+16;None;1.81E+16;None;3400;self win;1;1.82E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
24;0;0;self;win;self_win;1;Play to WIN points;23;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;23;23;23;1.84E+16;None;1.85E+15;None;1.84E+16;None;1.84E+16;None;left;1;3.78E+14;1.84E+16;None;stimuli/slot1_up.jpg;1;0;1;1.85E+15;None;1.85E+15;None;3500;self win;1;1.86E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
25;0;0;self;win;self_win;1;Play to WIN points;24;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;24;24;24;1.87E+16;None;1.89E+15;None;1.88E+16;None;1.88E+16;None;left;0;3.19E+15;1.88E+16;None;stimuli/slot1_up.jpg;1;0;1;1.88E+15;None;1.88E+15;None;3500;self avoid win;0;1.89E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
26;0;0;self;win;self_win;1;Play to WIN points;25;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;25;25;25;1.91E+15;None;1.92E+16;None;1.91E+16;None;1.91E+16;None;right;1;3.27E+14;1.91E+16;None;stimuli/slot1_up.jpg;1;0;1;1.92E+16;None;1.92E+16;None;3600;self win;1;1.93E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
27;0;0;self;win;self_win;1;Play to WIN points;26;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;26;26;26;1.94E+16;None;1.96E+16;None;1.95E+16;None;1.95E+16;None;left;1;4.47E+15;1.95E+16;None;stimuli/slot1_up.jpg;1;0;1;1.95E+16;None;1.95E+16;None;3700;self win;1;1.96E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
28;0;0;self;win;self_win;1;Play to WIN points;27;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;27;27;27;1.98E+16;None;1.99E+16;None;1.98E+16;None;1.98E+16;None;right;1;3.38E+15;1.98E+16;None;stimuli/slot1_up.jpg;1;0;1;1.99E+16;None;1.99E+16;None;3800;self win;1;2.00E+14;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
29;0;0;self;win;self_win;1;Play to WIN points;28;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;28;28;28;2.01E+15;None;2.03E+15;None;2.02E+16;None;2.02E+16;None;left;1;3.44E+16;2.02E+16;None;stimuli/slot1_up.jpg;1;0;1;2.02E+16;None;2.02E+16;None;3900;self win;1;2.03E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
30;0;0;self;win;self_win;1;Play to WIN points;29;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;29;29;29;2.05E+15;None;2.06E+16;None;2.05E+14;None;2.05E+14;None;right;1;3.03E+16;2.05E+14;None;stimuli/slot1_up.jpg;1;0;1;2.05E+16;None;2.05E+16;None;4000;self win;1;2.06E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
