imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,background_3.stopped,textbox.stopped,reminder_2.stopped,trial_counter_2.stopped,thanks.started,background_4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
different/40b.png,right,different,0,10,10,39,34.56005989998812,,,,,,,34.52037039998686,34.56005989998812,34.56005989998812,34.56005989998812,34.56005989998812,34.56005989998812,36.46826970000984,left,0,1.9023786999750882,None,36.46862649999093,36.49414029996842,36.49414029996842,36.49414029996842,36.49414029996842,37.48126610001782,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/84a.png,left,same,0,11,11,16,37.53453539998736,,,,,,,37.48152570001548,37.53453539998736,37.53453539998736,37.53453539998736,37.53453539998736,37.53453539998736,39.24262819997966,left,1,1.7044379999861121,None,39.24296589998994,39.268521299993154,39.268521299993154,39.268521299993154,39.268521299993154,40.25559740001336,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/69c.png,left,same,0,12,12,7,40.29555450001499,,,,,,,40.255844499974046,40.29555450001499,40.29555450001499,40.29555450001499,40.29555450001499,40.29555450001499,42.92399480001768,left,1,2.622926100040786,None,42.92432709998684,42.94984349998413,42.94984349998413,42.94984349998413,42.94984349998413,43.93703769997228,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/63a.png,left,same,0,13,13,5,43.97689409996383,,,,,,,43.93730479996884,43.97689409996383,43.97689409996383,43.97689409996383,43.97689409996383,43.97689409996383,44.31120320002083,right,0,0.3260929000098258,None,44.311524000018835,44.337038500001654,44.337038500001654,44.337038500001654,44.337038500001654,45.32418399996823,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/22a.png,right,different,0,14,14,28,45.36409019998973,,,,,,,45.324416399991605,45.36409019998973,45.36409019998973,45.36409019998973,45.36409019998973,45.36409019998973,45.63174430001527,left,0,0.2663294000085443,None,45.63205879996531,45.65757300000405,45.65757300000405,45.65757300000405,45.65757300000405,46.64477850002004,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/7c.png,right,different,0,15,15,22,46.684557000000495,,,,,,,46.64517259999411,46.684557000000495,46.684557000000495,46.684557000000495,46.684557000000495,46.684557000000495,46.92552039999282,left,0,0.23455359996296465,None,46.92585830000462,46.95135109999683,46.95135109999683,46.95135109999683,46.95135109999683,47.938504999969155,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/4a.png,right,different,0,16,16,21,47.991764699982014,,,,,,,47.93874119996326,47.991764699982014,47.991764699982014,47.991764699982014,47.991764699982014,47.991764699982014,48.25919559999602,left,0,0.2552649999852292,None,48.25948820001213,48.27187709999271,48.27187709999271,48.27187709999271,48.27187709999271,49.25937260000501,49.29891939996742,49.29891939996742,49.29891939996742,49.29891939996742,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/18a.png,right,different,0,17,17,25,49.29891939996742,,,,,,,49.259594700008165,49.29891939996742,49.29891939996742,49.29891939996742,49.29891939996742,49.29891939996742,49.619750200014096,left,0,0.30756210000254214,None,49.620046800002456,49.645756600017194,49.645756600017194,49.645756600017194,49.645756600017194,50.632928400009405,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/36c.png,right,different,0,18,18,38,50.67273330001626,,,,,,,50.63318339997204,50.67273330001626,50.67273330001626,50.67273330001626,50.67273330001626,50.67273330001626,51.153839999984484,left,0,0.4783016999717802,None,51.154160299978685,51.17962599999737,51.17962599999737,51.17962599999737,51.17962599999737,52.166725599963684,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/56a.png,left,same,0,19,19,1,52.20667899999535,,,,,,,52.16695559996879,52.20667899999535,52.20667899999535,52.20667899999535,52.20667899999535,52.20667899999535,52.674282899999525,left,1,0.46510679996572435,None,52.67461280000862,52.70017769996775,52.70017769996775,52.70017769996775,52.70017769996775,53.68735660001403,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/27b.png,right,different,0,20,20,32,53.72725100000389,,,,,,,53.68762179999612,53.72725100000389,53.72725100000389,53.72725100000389,53.72725100000389,53.72725100000389,54.075012299988884,left,0,0.3434209999977611,None,54.0753842999693,54.100714900007006,54.100714900007006,54.100714900007006,54.100714900007006,55.087836399965454,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/88b.png,left,same,0,21,21,17,55.127793599967845,,,,,,,55.08808839996345,55.127793599967845,55.127793599967845,55.127793599967845,55.127793599967845,55.127793599967845,55.381963399995584,left,1,0.24675799999386072,None,55.38225899997633,55.40787310001906,55.40787310001906,55.40787310001906,55.40787310001906,56.39498849998927,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/17a.png,right,different,0,22,22,24,56.43492289999267,,,,,,,56.39525210001739,56.43492289999267,56.43492289999267,56.43492289999267,56.43492289999267,56.43492289999267,56.689154399966355,left,0,0.25162579998141155,None,56.68947169999592,56.715034599998035,56.715034599998035,56.715034599998035,56.715034599998035,57.70213499997044,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/55a.png,left,same,0,23,23,0,57.74207749997731,,,,,,,57.702373299980536,57.74207749997731,57.74207749997731,57.74207749997731,57.74207749997731,57.74207749997731,58.06298799999058,left,1,0.3124623000039719,None,58.063298899971414,58.08885810000356,58.08885810000356,58.08885810000356,58.08885810000356,59.075969099998474,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
