imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,background_3.stopped,textbox.stopped,feedback.stopped,thanks.started,background_4.started,endmsg.started,session,participant,date,expName,psychopyVersion,frameRate,expStart,
different/35b.png,right,different,0,12,12,37,23.68547550000949,,,,,,,23.659546600014437,23.68547550000949,23.68547550000949,23.68547550000949,23.68547550000949,24.620056900021154,right,1,0.9315601999987848,None,24.620371100027114,24.632552499999292,24.632552499999292,25.646212199993897,25.646212199993897,25.61999849998392,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/59a.png,left,same,0,13,13,4,25.646212199993897,,,,,,,25.620248000021093,25.646212199993897,25.646212199993897,25.646212199993897,25.646212199993897,26.620888200006448,left,1,0.9715030000079423,None,26.621252999990247,26.6332733000163,26.6332733000163,27.646967399981804,27.646967399981804,27.620749399997294,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/81b.png,left,same,0,14,14,14,27.646967399981804,,,,,,,27.621012400020845,27.646967399981804,27.646967399981804,27.646967399981804,27.646967399981804,29.301658499985933,left,1,1.6501568999956362,None,29.301955999981146,29.31424059998244,29.31424059998244,30.32817629998317,30.32817629998317,30.301726200035773,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/32c.png,right,different,0,15,15,36,30.32817629998317,,,,,,,30.301965299993753,30.32817629998317,30.32817629998317,30.32817629998317,30.32817629998317,31.169181999983266,right,1,0.8334043000359088,None,31.1695061000064,31.18164040002739,31.18164040002739,32.19529990002047,32.19529990002047,32.169248200021684,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/7c.png,right,different,0,16,16,22,32.19529990002047,,,,,,,32.169519899995066,32.19529990002047,32.19529990002047,32.19529990002047,32.19529990002047,34.15697020001244,left,0,1.9576938999816775,None,34.15730230003828,34.16941349999979,34.16941349999979,35.183080499991775,35.183080499991775,35.156966599985026,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/27b.png,right,different,0,17,17,32,35.183080499991775,,,,,,,35.15722530003404,35.183080499991775,35.183080499991775,35.183080499991775,35.183080499991775,36.73123849998228,right,1,1.5462227999814786,None,36.73156670003664,36.743695400014985,36.743695400014985,37.75743490003515,37.75743490003515,37.731239399989136,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/11b.png,right,different,0,18,18,23,37.75743490003515,,,,,,,37.73149219999323,37.75743490003515,37.75743490003515,37.75743490003515,37.75743490003515,39.93249819998164,right,1,2.1639856000547297,None,39.93288410000969,39.94492630002787,39.94492630002787,40.9586144000059,40.9586144000059,40.93242490000557,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/4a.png,right,different,0,19,19,21,40.9586144000059,,,,,,,40.93268279999029,40.9586144000059,40.9586144000059,40.9586144000059,40.9586144000059,41.86654830002226,right,1,0.9071174000273459,None,41.86686210002517,41.87891949998448,41.87891949998448,42.892634799994994,42.892634799994994,42.86641600000439,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/40b.png,right,different,0,20,20,39,42.892634799994994,,,,,,,42.8666358999908,42.892634799994994,42.892634799994994,42.892634799994994,42.892634799994994,43.30691029998707,right,1,0.40466190001461655,None,43.30723229999421,43.31951719999779,43.31951719999779,44.41338739998173,44.41338739998173,44.308327800012194,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/73a.png,left,same,0,21,21,8,44.41338739998173,,,,,,,44.309503500000574,44.41338739998173,44.41338739998173,44.41338739998173,44.41338739998173,45.38947080000071,left,1,0.9562945000361651,None,45.39071380003588,45.41374759998871,45.41374759998871,,,46.40105520002544,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/24b.png,right,different,0,22,22,29,46.49417459999677,,,,,,,46.401973800035194,46.49417459999677,46.49417459999677,46.49417459999677,46.49417459999677,47.628578300005756,left,0,1.1315801000455394,None,47.6289523000014,47.641145600005984,47.641145600005984,48.66818370000692,48.66818370000692,48.628586300008465,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/75c.png,left,same,0,23,23,10,48.66818370000692,,,,,,,48.62882540002465,48.66818370000692,48.66818370000692,48.66818370000692,48.66818370000692,50.04313110001385,left,1,1.3736328999511898,None,50.0434178999858,50.05535249999957,50.05535249999957,51.069058699999005,51.069058699999005,51.04280569998082,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/29b.png,right,different,0,24,24,34,51.069058699999005,,,,,,,51.04305169999134,51.069058699999005,51.069058699999005,51.069058699999005,51.069058699999005,52.470301099994686,right,1,1.388483700051438,None,52.47060270002112,52.48294600000372,52.48294600000372,53.49662019999232,53.49662019999232,53.470435600029305,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/64b.png,left,same,0,25,25,6,53.49662019999232,,,,,,,53.47066699998686,53.49662019999232,53.49662019999232,53.49662019999232,53.49662019999232,54.351085800037254,left,1,0.8486249000416137,None,54.35141920001479,54.36365349998232,54.36365349998232,55.37729700002819,55.37729700002819,55.35116530000232,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/25a.png,right,different,0,26,26,30,55.37729700002819,,,,,,,55.35145570000168,55.37729700002819,55.37729700002819,55.37729700002819,55.37729700002819,56.57852979999734,left,0,1.1923767999978736,None,56.57888190000085,56.591129900014494,56.591129900014494,57.60485270002391,57.60485270002391,57.578626900038216,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/3c.png,right,different,0,27,27,20,57.60485270002391,,,,,,,57.5788678000099,57.60485270002391,57.60485270002391,57.60485270002391,57.60485270002391,58.565918800013606,right,1,0.956434799998533,None,58.56623390002642,58.57854660000885,58.57854660000885,59.59225400001742,59.59225400001742,59.56608479999704,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
