9.9248 	EXP 	faces: image = 'same/74a.png'
9.9248 	EXP 	background_2: autoDraw = True
9.9248 	EXP 	faces: autoDraw = True
9.9248 	EXP 	trial_counter: autoDraw = True
9.9248 	EXP 	reminder: autoDraw = True
11.0506 	DATA 	Keypress: left
11.0853 	EXP 	background_2: autoDraw = False
11.0853 	EXP 	faces: autoDraw = False
11.0853 	EXP 	trial_counter: autoDraw = False
11.0853 	EXP 	reminder: autoDraw = False
11.0853 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
11.0853 	EXP 	background_3: autoDraw = True
11.0853 	EXP 	textbox: autoDraw = True
11.0853 	EXP 	reminder_2: autoDraw = True
11.0853 	EXP 	trial_counter_2: autoDraw = True
12.0726 	EXP 	New trial (rep=0, index=3): {'imageFile': 'different/22a.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
12.1123 	EXP 	background_3: autoDraw = False
12.1123 	EXP 	textbox: autoDraw = False
12.1123 	EXP 	reminder_2: autoDraw = False
12.1123 	EXP 	trial_counter_2: autoDraw = False
12.1123 	EXP 	faces: image = 'different/22a.png'
12.1123 	EXP 	background_2: autoDraw = True
12.1123 	EXP 	faces: autoDraw = True
12.1123 	EXP 	trial_counter: autoDraw = True
12.1123 	EXP 	reminder: autoDraw = True
13.4710 	DATA 	Keypress: right
13.4862 	EXP 	background_2: autoDraw = False
13.4862 	EXP 	faces: autoDraw = False
13.4862 	EXP 	trial_counter: autoDraw = False
13.4862 	EXP 	reminder: autoDraw = False
13.4862 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
13.4862 	EXP 	background_3: autoDraw = True
13.4862 	EXP 	textbox: autoDraw = True
13.4862 	EXP 	reminder_2: autoDraw = True
13.4862 	EXP 	trial_counter_2: autoDraw = True
14.4735 	EXP 	New trial (rep=0, index=4): {'imageFile': 'same/75c.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
14.5132 	EXP 	background_3: autoDraw = False
14.5132 	EXP 	textbox: autoDraw = False
14.5132 	EXP 	reminder_2: autoDraw = False
14.5132 	EXP 	trial_counter_2: autoDraw = False
14.5132 	EXP 	faces: image = 'same/75c.png'
14.5132 	EXP 	background_2: autoDraw = True
14.5132 	EXP 	faces: autoDraw = True
14.5132 	EXP 	trial_counter: autoDraw = True
14.5132 	EXP 	reminder: autoDraw = True
16.3055 	DATA 	Keypress: left
16.3405 	EXP 	background_2: autoDraw = False
16.3405 	EXP 	faces: autoDraw = False
16.3405 	EXP 	trial_counter: autoDraw = False
16.3405 	EXP 	reminder: autoDraw = False
16.3405 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
16.3405 	EXP 	background_3: autoDraw = True
16.3405 	EXP 	textbox: autoDraw = True
16.3405 	EXP 	reminder_2: autoDraw = True
16.3405 	EXP 	trial_counter_2: autoDraw = True
17.3278 	EXP 	New trial (rep=0, index=5): {'imageFile': 'same/81b.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
17.3676 	EXP 	background_3: autoDraw = False
17.3676 	EXP 	textbox: autoDraw = False
17.3676 	EXP 	reminder_2: autoDraw = False
17.3676 	EXP 	trial_counter_2: autoDraw = False
17.3676 	EXP 	faces: image = 'same/81b.png'
17.3676 	EXP 	background_2: autoDraw = True
17.3676 	EXP 	faces: autoDraw = True
17.3676 	EXP 	trial_counter: autoDraw = True
17.3676 	EXP 	reminder: autoDraw = True
18.2739 	DATA 	Keypress: right
18.2879 	EXP 	background_2: autoDraw = False
18.2879 	EXP 	faces: autoDraw = False
18.2879 	EXP 	trial_counter: autoDraw = False
18.2879 	EXP 	reminder: autoDraw = False
