key_resp.keys,key_resp.rt,correct,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.time,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,reward_green,reward_blue,green_pos,pg,pb,corrAns,corrAmount,cash_green,cash_blue,cash_corr,cash_size,cashsize_h,cashsize_v,auditory_stim_green_path,auditory_stim_blue_path,audio_corr,ITI,ITI_s,participant,age,gender,years of education,date,expName,psychopyVersion,OS,frameRate,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,outerLoop.ran,thisCond
,,1,[0.27703509455652925],[-0.021784942579930664],[1],[0],[0],[3.1321200000093086],"[""blue""]",0,33,33,33,1,10,90,left,-0.4,0.4,images/blue_box.png,90,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,949,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.27703509455652925],[-0.021784942579930664],[1],[0],[0],[3.5095000000001164],"[""blue""]",0,34,34,34,1,49,51,left,-0.4,0.4,images/blue_box.png,51,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,981,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.27703509455652925],[-0.021784942579930664],[1],[0],[0],[1.2935549999965588],"[""blue""]",0,35,35,35,1,19,81,left,-0.4,0.4,images/blue_box.png,81,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,1020,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[-0.34685484617259726],[-0.05066722052857762],[1],[0],[0],[2.0616449999943143],"[""blue""]",0,36,36,36,1,23,77,right,0.4,-0.4,images/blue_box.png,77,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,987,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.34685484617259726],[-0.05066722052857762],[1],[0],[0],[1.6252999999996973],"[""green""]",0,37,37,37,1,73,27,left,-0.4,0.4,images/blue_box.png,27,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,797,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.4495435811705508],[0.12258760660932685],[1],[0],[0],[1.4292900000000373],"[""blue""]",0,38,38,38,1,32,68,left,-0.4,0.4,images/green_box.png,32,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,796,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.3578833534464079],[-0.06319715502816833],[1],[0],[0],[1.5234150000032969],"[""green""]",0,39,39,39,1,60,40,left,-0.4,0.4,images/blue_box.png,40,Reward3.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,822,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.35854961471675173],[-0.06319715502816833],[1],[0],[0],[4.741305000003194],"[""green""]",0,40,40,40,1,100,0,left,-0.4,0.4,images/blue_box.png,0,Reward5.png,Rewardnull.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1190,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.35854961471675173],[-0.06319715502816833],[1],[0],[0],[44.17193500000576],"[""blue""]",0,41,41,41,1,50,50,right,0.4,-0.4,images/green_box.png,50,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1125,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4916521962875578],[0.023409756747159092],[1],[0],[0],[5.373865000001388],"[""blue""]",0,42,42,42,1,27,73,left,-0.4,0.4,images/blue_box.png,73,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,760,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4916521962875578],[0.023409756747159092],[1],[0],[0],[16.585500000001048],"[""blue""]",0,43,43,43,1,33,67,left,-0.4,0.4,images/blue_box.png,67,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,913,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
